moment,se
CNN_block_97,0.000174984210174172
FNC_block_97,0.000387591332220102
MSNBC_block_97,0.000218367173781701
CNN_block_98,0.000159353961213812
FNC_block_98,0.000396157263185212
MSNBC_block_98,0.000242274305871048
CNN_block_99,0.000149894844252898
FNC_block_99,0.000400645917344966
MSNBC_block_99,0.000226972396318592
CNN_block_100,0.000160688760342456
FNC_block_100,0.000416879249685538
MSNBC_block_100,0.000238955083248291
CNN_block_101,0.000150934515236904
FNC_block_101,0.000400832602411534
MSNBC_block_101,0.000238188739020182
CNN_block_102,0.000153185875403033
FNC_block_102,0.000380936235696419
MSNBC_block_102,0.000240994502922218
CNN_block_103,0.000135871216256655
FNC_block_103,0.000392641008396129
MSNBC_block_103,0.000235837410695221
CNN_block_104,0.000142464266279363
FNC_block_104,0.000392505282915658
MSNBC_block_104,0.000234608667952638
CNN_block_105,0.00016223743389242
FNC_block_105,0.000364839333322692
MSNBC_block_105,0.000191874943710155
CNN_block_106,0.000158614762152458
FNC_block_106,0.00034807679903641
MSNBC_block_106,0.000219458282261902
CNN_block_107,0.000159855067507822
FNC_block_107,0.000358826301148519
MSNBC_block_107,0.00019727985819094
CNN_block_108,0.000177984002200967
FNC_block_108,0.000339723934830861
MSNBC_block_108,0.000214875496099666
CNN_block_109,0.000177290061005481
FNC_block_109,0.000401476978715561
MSNBC_block_109,0.000239142673524821
CNN_block_110,0.00017937812276957
FNC_block_110,0.000391851155716068
MSNBC_block_110,0.000228521373338388
CNN_block_111,0.000195015882978341
FNC_block_111,0.000384675163812313
MSNBC_block_111,0.000238065442647342
CNN_block_112,0.000164083462792302
FNC_block_112,0.000373951883089186
MSNBC_block_112,0.000229849098320626
CNN_block_113,0.000174900955851623
FNC_block_113,0.000360256212683961
MSNBC_block_113,0.000221788511023995
CNN_block_114,0.000168669593177295
FNC_block_114,0.000354693235002001
MSNBC_block_114,0.00018000865281926
CNN_block_115,0.000180956354387815
FNC_block_115,0.000338974483746421
MSNBC_block_115,0.000177262775277167
CNN_block_116,0.000163781664576407
