moment,data,data_sd,simulation,distance,sq_diff
msnbc block 340,0.00519567578793061,2814.0448737768465,0.00455729513958897,-0.00063838064834164,0.0011468072914299833
msnbc block 343,0.00524994405081847,2799.539171944013,0.004609454822104113,-0.0006404892287143575,0.00114844502201908
msnbc block 384,0.00389515884247511,3250.065096640723,0.004489824099666939,0.0005946652571918285,0.0011493100162755
cnn block 684,0.00187799727451673,4597.807920714752,0.00137524224401046,-0.00050275503050627,0.001162153979512138
msnbc block 197,0.00388836600004981,3219.744608834024,0.004489824099666939,0.0006014580996171288,0.0011647485545904141
msnbc block 379,0.00513438146593793,2832.571585127143,0.004489824099666939,-0.0006445573662709914,0.0011768037573498286
cnn block 337,0.0022765406792084,4245.00369759462,0.0017477856828876145,-0.0005287549963207856,0.0011868259706199838
msnbc block 380,0.00513860530938903,2831.4131943038337,0.004489824099666939,-0.0006487812097220914,0.0011917901119792198
cnn block 647,0.00188158277101906,4649.887082611317,0.00137524224401046,-0.0005063405270085998,0.0011921414413623014
msnbc block 240,0.00388163004662236,3229.380792982474,0.004489824099666939,0.0006081940530445785,0.0011945479752133005
cnn block 32,0.00110004660900775,6042.537228527914,0.0015481487569746048,0.00044810214796685483,0.0012133144956352662
cnn block 391,0.0018184507074137,4933.245671736954,0.0023156870036654194,0.0004972362962517194,0.001219715068798653
cnn block 414,0.00187840268334693,4851.224372419354,0.0023829516696477248,0.0005045489863007948,0.001234974634043702
msnbc block 336,0.00387205510963195,3254.9334315021365,0.004489824099666939,0.0006177689900349888,0.0012422079939306675
msnbc block 500,0.00547446331508962,3125.0034534582496,0.004842150527199075,-0.0006323127878905448,0.0012494371986657969
cnn block 657,0.00237382975562653,4129.741319140965,0.0029241004675365787,0.0005502707119100485,0.0012504768188645416
cnn block 235,0.00189839004067057,4613.193820077756,0.00137524224401046,-0.0005231477966601099,0.0012625555712944183
msnbc block 584,0.00516075046347794,2807.069833490081,0.004489824099666939,-0.0006709263638110009,0.001263580550138078
msnbc block 769,0.00387558821492069,3349.372675791779,0.004489824099666939,0.0006142358847462488,0.0012636704886016278
cnn block 370,0.00189785282061292,4651.450586189753,0.00137524224401046,-0.00052261057660246,0.0012704126254445495
msnbc block 202,0.00386176748935322,3230.770687290111,0.004489824099666939,0.0006280566103137185,0.001274393993137316
cnn block 808,0.00189369498464688,4769.031665780092,0.00137524224401046,-0.0005184527406364198,0.0012818834934876784
msnbc block 535,0.00582134761058637,3329.5184461731774,0.005199436378905884,-0.0006219112316804857,0.0012877697694032217
cnn block 333,0.00190261085552075,4638.835722074412,0.00137524224401046,-0.00052736861151029,0.0012901421009217779
cnn block 232,0.00190536801904573,4604.754780027325,0.00137524224401046,-0.0005301257750352699,0.0012940896035405062
msnbc block 772,0.00386809508416265,3352.6026370587556,0.004489824099666939,0.0006217290155042885,0.0012959383866775118
msnbc block 669,0.00402967837777613,3172.292022621362,0.004669918575806058,0.0006402401980299278,0.0013003463277079573
msnbc block 256,0.00385686322787148,3251.3613299124004,0.004489824099666939,0.0006329608717954589,0.0013026236644663163
msnbc block 13,0.00445594240902456,3018.6603061225815,0.005113483171820199,0.000657540762795639,0.001305147531458136
msnbc block 56,0.00393452107850439,3205.856408316023,0.004573608559689451,0.0006390874811850605,0.0013093769368407537
cnn block 26,0.00104690585977418,6193.833276995042,0.001507330678049286,0.00046042481827510617,0.0013130369925002593
cnn block 633,0.00191123208392848,4613.747335155233,0.00137524224401046,-0.0005359898399180199,0.0013254609037501779
cnn block 615,0.0021651507736418,4327.417519741391,0.0027196122665097805,0.0005544614928679804,0.0013303673532565066
cnn block 222,0.00191397232417419,4594.412536109476,0.00137524224401046,-0.0005387300801637299,0.0013334368064571744
cnn block 223,0.0019152742783454,4592.853684505324,0.00137524224401046,-0.0005400320343349398,0.0013394350384492524
msnbc block 387,0.00499247311827957,2982.0658444722167,0.00566535705794415,0.0006728839396645796,0.0013501982910287273
msnbc block 540,0.00548993391315191,3427.9719432076217,0.004861188924218838,-0.0006287449889330714,0.001355146763661271
cnn block 69,0.00125189855504245,5675.725672360089,0.0017408066226870934,0.0004889080676446435,0.0013566749428619712
cnn block 358,0.00280285658441241,3826.748504939683,0.0034002560592857932,0.0005973994748733834,0.0013657134742803719
msnbc block 486,0.00556212774361,3100.4157812471276,0.004898106238613552,-0.0006640215049964482,0.0013670494613660898
cnn block 215,0.000920053047094862,6609.254027403868,0.00137524224401046,0.00045518919691559813,0.0013694189615381734
cnn block 248,0.00192321211375108,4599.892244622703,0.00137524224401046,-0.00054796986974062,0.001381214143647798
cnn block 251,0.00192404554967377,4598.897792638811,0.00137524224401046,-0.0005488033056633098,0.0013851193458127224
cnn block 475,0.00322196867613599,3754.40020288618,0.0026145096299368164,-0.0006074590461991737,0.001385398051469215
cnn block 41,0.00155833129782408,5078.022598010623,0.0020815035154952356,0.0005231722176711555,0.0013899013472062416
msnbc block 749,0.00425970342609943,3192.3817909498553,0.004919571075990495,0.0006598676498910652,0.0013900438481145886
msnbc block 581,0.00519510962798171,2797.8201181370305,0.004489824099666939,-0.0007052855283147712,0.0013917131604906559
cnn block 478,0.0028240670215821,4009.3784959645336,0.0022324592599879105,-0.0005916077615941893,0.001403281445496687
cnn block 384,0.00192690415772009,4616.320360544336,0.00137524224401046,-0.0005516619137096298,0.0014048887778485735
cnn block 474,0.00302513176787647,3874.2371117757875,0.0024226715472043803,-0.0006024602206720895,0.0014061865836562234
cnn block 670,0.00287579489464953,3752.9948343130277,0.002261312924956885,-0.0006144819696926448,0.0014170861553114208
cnn block 636,0.00193287789981776,4587.890248670021,0.00137524224401046,-0.0005576356558072999,0.0014266389949897055
cnn block 109,0.00188643204445474,5460.755300659104,0.00137524224401046,-0.0005111898004442799,0.001426977337348171
msnbc block 221,0.0038265365539133,3252.4556667808824,0.004489824099666939,0.0006632875457536387,0.0014309190686484263
msnbc block 366,0.00520663258832715,2812.951632805283,0.004489824099666939,-0.0007168084886602115,0.001445335081923753
msnbc block 771,0.00383426308619456,3367.303980499093,0.004489824099666939,0.0006555610134723788,0.001447133374843038
msnbc block 613,0.0055598707301399,2705.0826399683065,0.004827835320779416,-0.0007320354093604837,0.0014495884334707093
msnbc block 439,0.00741587361419069,2475.2749587842372,0.006650460752776534,-0.0007654128614141562,0.0014501567863218386
cnn block 111,0.001893715959891,5450.263051300443,0.00137524224401046,-0.0005184737158805399,0.001465112429755179
